Tune_name,1,1+,1-,2,2+,2-,3,3+,3-,4,4+,5,5+,5-,6,6+,6-,7,7-,r,Other
east_tennessee_blues.krn.B_scale_dist_dur.txt,20,4,,20,,,90,,,4,6,32,,,74,,,,,,
eighth_of_january.krn.B_scale_dist_dur.txt,44,,,32,,,68,,,4,,84,,,20,,,4,,,
eli_greenes_cakewalk.krn.B_scale_dist_dur.txt,56,,,24,,,36,,,8,12,84,,,20,,,12,,,
elsies_farewell.krn.B_scale_dist_dur.txt,80,,,50,,,64,,,,,12,,,12,,,,,8,
elvira.krn.B_scale_dist_dur.txt,42,,,36,,,42,,,24,,28,,,38,,28,6,,2,
enrico.krn.B_scale_dist_dur.txt,40,,,20,,,36,,,88,,28,,,24,,,,16,,
equinox.krn.B_scale_dist_dur.txt,24,,,24,,,72,,,16,,20,,,24,,,12,,,
eriks_reel.krn.B_scale_dist_dur.txt,26,,,18,,,8,,,50,,104,,,20,,,2,24,,
erin.krn.B_scale_dist_dur.txt,64,4,,46,,,26,,,6,,44,6,,44,,,8,2,,
esquimaux_reel_des.krn.B_scale_dist_dur.txt,56,,,28,,,44,,,32,,60,,,20,,,16,,,
eugene_reel.krn.B_scale_dist_dur.txt,56,,,38,,,56,,,12,,48,,,24,,,22,,,
evil_diane.krn.B_scale_dist_dur.txt,44,,,52,,,24,,,52,,36,,,8,,,36,,,
evil_red_three.krn.B_scale_dist_dur.txt,40,,,12,,,12,,,40,,64,,,16,,,8,,,
evit_gabriel.krn.B_scale_dist_dur.txt,44,,,24,,,52,,,44,,32,,,32,,,,28,,
exile_of_erin.krn.B_scale_dist_dur.txt,52,,,40,,,28,,8,24,,68,,,8,,,4,24,,
fair_jennys_jig.krn.B_scale_dist_dur.txt,52,,,,,,4,,,8,,20,,,80,,,8,20,,
far_from_home.krn.B_scale_dist_dur.txt,76,,,24,,,40,,,8,,36,,,48,,,24,,,
farewell_to_tchernobyl.krn.B_scale_dist_dur.txt,92,,,24,,,52,,,36,,18,,,4,,,2,20,,
farrell_o_gara.krn.B_scale_dist_dur.txt,70,,,36,,,56,,,22,,36,,,25,,,11,,,
father_francis_camerons_reel.krn.B_scale_dist_dur.txt,52,,,40,,,32,,,28,,56,,,32,,,16,,,
father_kellys.krn.B_scale_dist_dur.txt,44,,,16,,,44,,,20,,88,,,28,,,16,,,
faubourg_reel_du.krn.B_scale_dist_dur.txt,34,,,26,,,48,,,24,,106,,,2,,,20,,,
february_march.krn.B_scale_dist_dur.txt,20,,,16,,,56,,,4,,60,,,72,,,28,,,
fee_des_dents_la.krn.B_scale_dist_dur.txt,28,,,20,,,28,,,32,,28,,,36,,,12,,,
feed_her_candy_and_tell_her_lies.krn.B_scale_dist_dur.txt,56,,,44,,,92,,,,,40,,,12,,,,,,
fermoy_lasses.krn.B_scale_dist_dur.txt,80,,,46,,,52,,,6,,44,,,8,,,20,,,
festival_du_voyageur_reel.krn.B_scale_dist_dur.txt,52,,,28,,,32,,,26,,58,,,14,,,,46,,
festival_du_voyageur_reel_alternate.krn.B_scale_dist_dur.txt,56,,,40,,,40,,,28,,52,,,12,4,,,24,,
fiddlers_dream.krn.B_scale_dist_dur.txt,40,,,20,,,30,,,6,,70,,,60,,,30,,,
fiddlers_dream3.krn.B_scale_dist_dur.txt,64,,,36,,,18,,,16,2,54,,,22,,,44,,,
field_in_forest.krn.B_scale_dist_dur.txt,38,,,64,,,44,,,8,,20,,,,,,,,,
