Tune_name,do,re,me,mi,fa,fi,so,la,le,te,ti,Other
gigue_des_montagnards.krn.diss_A.txt,8,12,,8,2,,,16,,,,
gigue_des_sucres.krn.diss_A.txt,,12,,12,20,,,12,,,,
gigue_du_salon.krn.diss_A.txt,20,16,,12,,,4,8,,,,
gillians_reel.krn.diss_A.txt,4,2,,8,20,,4,4,,,8,
girL_i_left_behind_me.krn.diss_A.txt,8,8,,8,4,,8,28,,,4,
girl_who_broke_my_heart.krn.diss_A.txt,12,18,,,12,,8,8,,12,8,
girl_with_the_blue_dress_on.krn.diss_A.txt,,8,,12,30,,,,,,4,
glen_of_aherlow.krn.diss_A.txt,,8,,,32,,,,,12,2,
glencolmcille.krn.diss_A.txt,4,26,,8,4,,8,18,,,16,
glise_de_sherbrooke.krn.diss_A.txt,,,,8,28,,,12,,,,
goglu_reel_du.krn.diss_A.txt,20,20,,8,26,,,8,,,4,
going_to_the_free_state.krn.diss_A.txt,4,32,,8,4,,4,24,,,,
golden_legs.krn.diss_A.txt,14,10,,4,10,2,16,,,,8,
golden_wedding_reel.krn.diss_A.txt,,4,,8,2,,8,12,,,8,
gondolin.krn.diss_A.txt,4,4,32,,8,,12,,28,,,
gonna_climb_them_golden_stairs.krn.diss_A.txt,8,,,,8,,,10,,,6,
good_for_the_tongue.krn.diss_A.txt,4,16,,8,12,,,4,,,12,
goodbye_girls.krn.diss_A.txt,12,16,32,,20,,4,4,,24,,
goodbye_girls_im_going_to_boston.krn.diss_A.txt,4,24,,16,32,,8,4,,,,
gordons_fiddletunes_jig.krn.diss_A.txt,,8,16,,20,,4,,4,4,,
grace_hays_delight.krn.diss_A.txt,,,,,26,,,,,,4,
grand_chaine_la.krn.diss_A.txt,12,14,,12,28,,,2,,,2,
grand_picnic.krn.diss_A.txt,,32,,20,,,16,8,,,,
grandpere_reel_du.krn.diss_A.txt,4,8,,8,8,,,17,,,29,
granny_quinns.krn.diss_A.txt,,8,,,12,,8,,,,,
granny_will_your_dog_bite.krn.diss_A.txt,4,,,,12,,16,4,,,,
grasshopper_sittin_on_a_sweet_potato_vine.krn.diss_A.txt,4,12,,,16,,16,16,,,,
gray_eagle.krn.diss_A.txt,4,26,,4,,,8,8,,,,
greasy_coat.krn.diss_A.txt,8,16,,,12,,8,,,32,,
greasy_string.krn.diss_A.txt,8,40,,,,,,24,,,,
green_apple_quickstep.krn.diss_A.txt,4,10,,10,4,2,10,2,,,10,
green_fields_of_woodford.krn.diss_A.txt,4,24,,4,,,8,16,,,,
green_table.krn.diss_A.txt,10,8,,,6,,18,,,,8,
green_willis.krn.diss_A.txt,16,8,,,8,,,20,,,,
grey_buck.krn.diss_A.txt,16,2,,4,,,,30,,,6,
